"time","sizeS","sizeM","sizeL"
-19.09,0.587936702074215,0.587936702074215,0.587936702074215
-19.08,0.58870298400121,0.58870298400121,0.58870298400121
-19.07,0.589468803204214,0.589468803204214,0.589468803204214
-19.06,0.5902341571038,0.5902341571038,0.5902341571038
-19.05,0.590999043120538,0.590999043120538,0.590999043120538
-19.04,0.591763458674997,0.591763458674997,0.591763458674997
-19.03,0.592527401187749,0.592527401187749,0.592527401187749
-19.02,0.593290868079363,0.593290868079363,0.593290868079363
-19.01,0.594053856770411,0.594053856770411,0.594053856770411
-19,0.594816364681462,0.594816364681462,0.594816364681462
-18.99,0.595578389114493,0.595578389114493,0.595578389114493
-18.98,0.596339927387228,0.596339927387228,0.596339927387228
-18.97,0.597100977020746,0.597100977020746,0.597100977020746
-18.96,0.59786153553733,0.59786153553733,0.59786153553733
-18.95,0.598621600459265,0.598621600459265,0.598621600459265
-18.94,0.599381169308834,0.599381169308834,0.599381169308834
-18.93,0.600140239608322,0.600140239608322,0.600140239608322
-18.92,0.600898808880012,0.600898808880012,0.600898808880012
-18.91,0.601656874646189,0.601656874646189,0.601656874646189
-18.9,0.602414434429136,0.602414434429136,0.602414434429136
-18.89,0.603171485751138,0.603171485751138,0.603171485751138
-18.88,0.603928026134479,0.603928026134479,0.603928026134479
-18.87,0.604684053101441,0.604684053101441,0.604684053101441
-18.86,0.605439564174311,0.605439564174311,0.605439564174311
-18.85,0.60619455687537,0.60619455687537,0.60619455687537
-18.84,0.606949028701854,0.606949028701854,0.606949028701854
-18.83,0.607702976986652,0.607702976986652,0.607702976986652
-18.82,0.608456399300591,0.608456399300591,0.608456399300591
-18.81,0.609209293274436,0.609209293274436,0.609209293274436
-18.8,0.609961656538953,0.609961656538953,0.609961656538953
-18.79,0.610713486724909,0.610713486724909,0.610713486724909
-18.78,0.611464781463071,0.611464781463071,0.611464781463071
-18.77,0.612215538384204,0.612215538384204,0.612215538384204
-18.76,0.612965755119075,0.612965755119075,0.612965755119075
-18.75,0.61371542929845,0.61371542929845,0.61371542929845
-18.74,0.614464558553097,0.614464558553097,0.614464558553097
-18.73,0.61521314051378,0.61521314051378,0.61521314051378
-18.72,0.615961172811267,0.615961172811267,0.615961172811267
-18.71,0.616708653076324,0.616708653076324,0.616708653076324
-18.7,0.617455578939717,0.617455578939717,0.617455578939717
-18.69,0.618201948032213,0.618201948032213,0.618201948032213
-18.68,0.618947757934128,0.618947757934128,0.618947757934128
-18.67,0.619693006102007,0.619693006102007,0.619693006102007
-18.66,0.6204376902522,0.6204376902522,0.6204376902522
-18.65,0.62118180813067,0.62118180813067,0.62118180813067
-18.64,0.621925357483377,0.621925357483377,0.621925357483377
-18.63,0.622668336056282,0.622668336056282,0.622668336056282
-18.62,0.623410741595345,0.623410741595345,0.623410741595345
-18.61,0.624152571846527,0.624152571846527,0.624152571846527
-18.6,0.624893824555789,0.624893824555789,0.624893824555789
-18.59,0.625634497469091,0.625634497469091,0.625634497469091
-18.58,0.626374588332394,0.626374588332394,0.626374588332394
-18.57,0.627114094891659,0.627114094891659,0.627114094891659
-18.56,0.627853014892847,0.627853014892847,0.627853014892847
-18.55,0.628591346081917,0.628591346081917,0.628591346081917
-18.54,0.629329086204832,0.629329086204832,0.629329086204832
-18.53,0.63006623300755,0.63006623300755,0.63006623300755
-18.52,0.630802784210582,0.630802784210582,0.630802784210582
-18.51,0.631538737372254,0.631538737372254,0.631538737372254
-18.5,0.632274090299197,0.632274090299197,0.632274090299197
-18.49,0.633008840859218,0.633008840859218,0.633008840859218
-18.48,0.633742986920124,0.633742986920124,0.633742986920124
-18.47,0.634476526349722,0.634476526349722,0.634476526349722
-18.46,0.635209457015818,0.635209457015818,0.635209457015818
-18.45,0.63594177678622,0.63594177678622,0.63594177678622
-18.44,0.636673483528735,0.636673483528735,0.636673483528735
-18.43,0.63740457511117,0.63740457511117,0.63740457511117
-18.42,0.63813504940133,0.63813504940133,0.63813504940133
-18.41,0.638864904267024,0.638864904267024,0.638864904267024
-18.4,0.639594137576059,0.639594137576059,0.639594137576059
-18.39,0.64032274719624,0.64032274719624,0.64032274719624
-18.38,0.641050730995376,0.641050730995376,0.641050730995376
-18.37,0.641778086841273,0.641778086841273,0.641778086841273
-18.36,0.642504812601738,0.642504812601738,0.642504812601738
-18.35,0.643230906040128,0.643230906040128,0.643230906040128
-18.34,0.643956364915068,0.643956364915068,0.643956364915068
-18.33,0.644681187218984,0.644681187218984,0.644681187218984
-18.32,0.645405370948123,0.645405370948123,0.645405370948123
-18.31,0.64612891409873,0.64612891409873,0.64612891409873
-18.3,0.64685181466705,0.64685181466705,0.64685181466705
-18.29,0.647574070649328,0.647574070649328,0.647574070649328
-18.28,0.64829568004181,0.64829568004181,0.64829568004181
-18.27,0.649016640840742,0.649016640840742,0.649016640840742
-18.26,0.649736951042369,0.649736951042369,0.649736951042369
-18.25,0.650456608642935,0.650456608642935,0.650456608642935
-18.24,0.651175611638687,0.651175611638687,0.651175611638687
-18.23,0.651893958025869,0.651893958025869,0.651893958025869
-18.22,0.652611645800728,0.652611645800728,0.652611645800728
-18.21,0.653328672959508,0.653328672959508,0.653328672959508
-18.2,0.654045037498455,0.654045037498455,0.654045037498455
-18.19,0.654760737413815,0.654760737413815,0.654760737413815
-18.18,0.655475770593524,0.655475770593524,0.655475770593524
-18.17,0.656190134932793,0.656190134932793,0.656190134932793
-18.16,0.656903828559742,0.656903828559742,0.656903828559742
-18.15,0.657616849605593,0.657616849605593,0.657616849605593
-18.14,0.658329196201567,0.658329196201567,0.658329196201567
-18.13,0.659040866478887,0.659040866478887,0.659040866478887
-18.12,0.659751858568774,0.659751858568774,0.659751858568774
-18.11,0.66046217060245,0.66046217060245,0.66046217060245
-18.1,0.661171800711137,0.661171800711137,0.661171800711137
-18.09,0.661880747026056,0.661880747026056,0.661880747026056
-18.08,0.662589007678429,0.662589007678429,0.662589007678429
-18.07,0.663296580799478,0.663296580799478,0.663296580799478
-18.06,0.664003464520424,0.664003464520424,0.664003464520424
-18.05,0.66470965697249,0.66470965697249,0.66470965697249
-18.04,0.665415156286898,0.665415156286898,0.665415156286898
-18.03,0.666119960594867,0.666119960594867,0.666119960594867
-18.02,0.666824068027622,0.666824068027622,0.666824068027622
-18.01,0.667527476690916,0.667527476690916,0.667527476690916
-18,0.668230184530709,0.668230184530709,0.668230184530709
-17.99,0.668932189755651,0.668932189755651,0.668932189755651
-17.98,0.669633490638436,0.669633490638436,0.669633490638436
-17.97,0.670334085451761,0.670334085451761,0.670334085451761
-17.96,0.671033972468318,0.671033972468318,0.671033972468318
-17.95,0.671733149960805,0.671733149960805,0.671733149960805
-17.94,0.672431616201914,0.672431616201914,0.672431616201914
-17.93,0.673129369464342,0.673129369464342,0.673129369464342
-17.92,0.673826408020782,0.673826408020782,0.673826408020782
-17.91,0.674522730143929,0.674522730143929,0.674522730143929
-17.9,0.67521833410648,0.67521833410648,0.67521833410648
-17.89,0.675913218181127,0.675913218181127,0.675913218181127
-17.88,0.676607380640566,0.676607380640566,0.676607380640566
-17.87,0.677300819757492,0.677300819757492,0.677300819757492
-17.86,0.677993533804599,0.677993533804599,0.677993533804599
-17.85,0.678685521054584,0.678685521054584,0.678685521054584
-17.84,0.679376779780138,0.679376779780138,0.679376779780138
-17.83,0.680067308227886,0.680067308227886,0.680067308227886
-17.82,0.680757104485831,0.680757104485831,0.680757104485831
-17.81,0.68144616691055,0.68144616691055,0.68144616691055
-17.8,0.682134493922692,0.682134493922692,0.682134493922692
-17.79,0.682822083942905,0.682822083942905,0.682822083942905
-17.78,0.683508935391837,0.683508935391837,0.683508935391837
-17.77,0.684195046690135,0.684195046690135,0.684195046690135
-17.76,0.684880416258448,0.684880416258448,0.684880416258448
-17.75,0.685565042517424,0.685565042517424,0.685565042517424
